probe	gene
cg12570429	LPO
cg06568260	SYAP1
cg07859138	SEPT6
cg19912147	FAM122C
cg20205061	MSL3
cg20947407	IGSF1
cg27545072	DACH2
cg02957197	PDIK1L
cg03528519	SCP2
cg10801331	SDCCAG8
cg12900790	PTPN22
cg13069892	BCAN
cg13244522	HHLA3
cg16374333	ETV3
cg17325792	ST6GALNAC3
cg19705300	PRDM2
cg22862005	SLC26A9
cg23024810	MDM4
cg00219921	CD8A
cg01796333	MTERFD2
cg02334333	BCL11A
cg04305912	BCL11A
cg05139187	ITSN2
cg10246038	FAM82A1
cg16350446	DCAF17
cg16908938	GREB1
cg23569941	TMBIM1
cg27432699	GPN1
cg00409700	IQSEC1
cg00586732	GRM7
cg01114486	TP63
cg01303420	C3orf55
cg05774231	NDUFB4
cg12403190	MAGI1
cg12469257	NGLY1
cg15782845	CEP63
cg21589858	C3orf26
cg27329737	P2RY14
cg12271317	LEF1
cg20610031	WHSC1
cg26128456	JAKMIP1
cg05838553	TCF7
cg08814749	CDH18
cg12671247	RAD1
cg13701509	NPM1
cg16425489	KCNIP1
cg17874670	FGF1
cg25213720	MXD3
cg25780675	ARSB
cg00167916	TAP2
cg01609000	GOPC
cg06474219	POLR1C
cg06669598	ECHDC1
cg08327277	TAP2
cg13830799	GRM1
cg16393899	LYRM4
cg22032366	HMGN3
cg24678812	POLR1C
cg26415516	IPCEF1
cg05036615	PHTF2
cg05221465	ABHD11
cg06326591	CUX1
cg08123413	FBXL13
cg08605855	C7orf23
cg17130518	CCDC146
cg19449626	H2AFV
cg02542806	SAMD12
cg03212568	PHF20L1
cg06419180	CSGALNACT1
cg16895486	ADRA1A
cg17090901	PHF20L1
cg17829017	ZFATAS
cg18462033	ASPH
cg02780029	RET
cg05026403	C10orf10
cg05838627	RPS24
cg08385211	LRRC18
cg16124562	ZNF438
cg18412499	PPP2R2D
cg00417576	PSMA1
cg09205384	MRPL11
cg09331409	MAP6
cg09737499	KIRREL3
cg02138992	CLEC12B
cg02505216	LRTM2
cg02979010	TBC1D15
cg05298252	CCDC62
cg07201747	MLF2
cg08163918	SHMT2
cg10759769	EFCAB4B
cg11373869	LARP4
cg14210985	PTHLH
cg17323099	IFT81
cg24637417	DAZAP2
cg07285641	DHRS12
cg07725527	NAA16
cg10311417	RFC3
cg13568311	LRCH1
cg04576317	DCAF11
cg09378756	PCK2
cg14837480	TRIM9
cg22981198	BTBD7
cg27017580	BRF1
cg01182159	CDK10
cg03308839	NDE1
cg04867052	NFATC3
cg01879757	BRCA1
cg07462863	EVI2A
cg08808817	CD300LF
cg09795794	FAM20A
cg12232373	CTNS
cg19856701	NF1
cg19933343	C17orf80
cg21850879	NF1
cg22396850	AARSD1
cg22556056	TSR1
cg24156983	SPATA22
cg16491233	PTPN2
cg18517540	DTNA
cg00340856	ZNF780A
cg22621913	SPPL2B
cg00940140	GNAS
cg13334949	SNX21
cg15511401	C20orf7
cg19615731	DIDO1
cg25971823	ACSS2
cg07389144	DIP2A
cg16081992	SON
cg18667511	KRTAP10-7
cg04143347	TBX1
cg05386077	DERL3
cg11942221	EWSR1
cg21793342	C22orf39
cg25996826	TOM1
