cg15804973,MAP3K5
cg26614073,SCAP
cg13828047,MPI
cg01511567,SSRP1
cg07730301,ALDH3B1
cg22947000,BCMO1
cg21305265,KCTD9
cg09646392,TNFSF13B
cg01459453,SELP
cg26723847,VPS26B
cg04121983,CASKIN2
cg03330058,ABTB1
cg09809672,EDARADD
cg25564800,KPNA1
cg13931228,MPP6
cg19945840,SDF4
cg10266490,ACOT11
cg19724470,CD274
cg02364642,GEFT
cg24471894,KIAA0020
cg07408456,PGLYRP2
cg18055007,DDAH2
cg24126851,DCHS1
cg17274064,ERG
cg01820374,LAG3
cg26824091,GLO1
cg16984944,TBC1D23
cg17324128,RASSF4
cg17686885,TOM1L1
cg19722847,IPO8
cg04528819,KLF14
cg14992253,EIF3I
cg10940099,CD164
cg14727952,BIRC2
cg12941369,PDCD6IP
cg02275294,SOAT1
cg06836772,PRKAA2
cg23124451,CBX7
cg11314684,AKT3
cg01560871,C10orf27
cg25771195,C16orf80
cg21096399,MCAM
cg04474832,ABHD14B
cg02085507,TRIP10
cg06810647,CRAMP1L
cg21950518,IL6ST
cg09418283,PAWR
cg08331960,SLC9A3R2
cg19046959,COL8A2
cg01262913,DSCR9
cg27544190,C21orf63
cg25101936,ZBTB16
cg18440048,ZNF70
cg26372517,TFAP2E
cg17338403,SLCO3A1
cg10486998,GALR1
cg26394940,C22orf26
cg00431549,MGP
cg02154074,HTRA2
cg15341340,DNASE2
cg05847778,BBS5
cg04452713,DST
cg20914508,GAP43
cg25928579,HOXB8
cg16899442,CCDC78
cg22171829,PDK4
cg13302154,MGP
cg11653266,MRPL38
cg23092072,AFF1
cg08965235,LTBP3
cg21370143,MYBPC3
cg04999691,C7orf29
cg19305227,SLC28A2
cg03103192,SPATA18
cg27494383,LTK
cg26456957,PPP1R12C
cg11932564,TNFRSF13C
cg19761273,CSNK1D
cg14423778,MBNL1
cg14894144,LAMA3
cg14258236,OR5V1
cg14329157,WDR69
cg06117855,CLEC3B
cg25552492,LGI3
cg02827112,SMARCAD1
cg22190114,NLRP8
cg06144905,PIPOX
cg02335441,NEK11
cg13682722,C14orf102
cg27319898,ZNF804B
cg24899750,SNRPB2
cg03286783,CASC4
cg08030082,POMC
cg12946225,HMG20B
cg26845300,SNX9
cg10376763,TNP1
cg05755779,COLEC10
cg17729667,NINL
cg18031008,MRPS21
cg22289837,CA3
cg23662675,ZMYND8
cg18328933,ABHD14B
cg01656216,ZNF438
cg16419345,ACOX1
cg06738602,PTGER2
cg17099569,0.43191
cg23941599,FEM1C
cg19346193,BCCIP
cg12351433,LHCGR
cg14723032,PITPNM3
cg14409958,ENPP2
cg06493994,SCGN
cg15974053,HSD17B14
cg16150435,C6orf15
cg22637507,ALKBH3
cg19420968,HCRTR1
cg26453588,BIK
cg06361108,CCNF
cg07291563,GRWD1
cg03891319,ACY1
cg17589341,SLC14A1
cg15185286,AIG1
cg20305610,PDLIM5
cg03270204,DDR1
cg22006386,CATSPERG
cg02217159,KHDRBS2
cg09722397,GRIN2C
cg14308452,PRR22
cg05442902,MGC16703
cg16168311,APOA1BP
cg19853760,LGALS1
cg00168942,GJD4
cg00091693,KRT20
cg14408969,C8orf40
cg17063929,NOX4
cg19706682,LRRC50
cg26003813,PLK1
cg17960516,DOK7
cg07158339,FXN
cg16744741,PRKG2
cg17285325,TYMP
cg24834740,PPP1R16B
cg27092035,ARL10
cg19514928,TMEM56
cg26005082,MIR7-3
cg14424579,AGBL5
cg05675373,KCNC4
cg21801378,BRUNOL6
cg25159610,PLK2
cg24116886,DEFB127
cg26162695,ELAC2
cg09509673,CCR10
cg21460081,HOXB4
cg13269407,C22orf26
cg25505610,EIF3M
cg04126866,C10orf99
cg25148589,GRIA2
cg18983672,FOXE3
cg03760483,ALOX12
cg04094160,ZBTB5
cg15262928,TIMM17A
cg22809047,RPL31
cg22449114,TCF15
cg14175438,FAM3C
cg09133026,RPS6KL1
cg20100381,NAE1
cg09191327,PRDM12
cg20795863,NEU2
cg20240860,ACCS
cg13547237,C11orf68
cg19478743,ZMYND15
cg00864867,PAWR
cg27169020,BNC1
cg16034652,BTBD7
cg18139769,SGCE
cg08124722,CCL7
cg10865119,C6orf122
cg07498421,CRADD
cg22197830,TXNDC15
cg22901840,DIRAS3
cg14501253,C8orf79
cg16494477,FGF18
cg27413543,SEC31A
cg17853587,NDST3
cg01234063,ST3GAL4
cg13038560,C2orf60
cg24580001,CCDC88B
cg18956095,ZHX1
cg17655614,CDH1
cg25809905,ITGA2B
cg01873645,FAM108B1
cg09885951,CENPF
cg03167275,CXADR
cg16579101,NOP2
cg22736354,NHLRC1
cg01485645,MLLT6
cg23517605,TUBB2B
cg03019000,TEX264
cg25070637,SDC2
cg11388238,KCTD18
cg06993413,DPP8
cg08090772,ADHFE1
cg12985418,MIB1
cg08370996,NR2F2
cg19008809,SFMBT1
cg10045881,CHI3L2
cg23180365,GLB1
cg12373771,CECR6
cg26620959,SYNE1
cg27377450,0.83203
cg09118625,DIRAS3
cg01584473,MUC17
cg02332492,C8G
cg13129046,C10orf35
cg14658362,RBPMS
cg09722555,CCL27
cg19167673,PDGFB
cg25683012,BAZ2A
cg18180783,MYOZ1
cg02479575,MIR7-3
cg09019938,PRKG1
cg07285276,RAPGEF1
cg21870884,GPR25
cg08413469,DEPDC1
cg11025793,IER2
cg15703512,C16orf65
cg24450312,RASSF5
cg10345936,SLC36A2
cg13899108,PDE4C
cg05365729,LOXL2
cg24081819,EPHX2
cg20524216,C3orf75
cg00374717,ARSG
cg24254120,RFC3
cg27015931,C16orf65
cg14597908,GNASAS
cg15661409,C14orf105
cg13836627,TJP1
cg26297688,C12orf23
cg20295671,YPEL1
cg16408394,RXRA
cg03682823,SGCE
cg25781123,THUMPD3
cg15547534,C7orf47
cg05903609,PRPF8
cg18984151,C3orf75
cg19044674,LEPRE1
cg13975369,TSGA14
cg02331561,ABCA17P
cg09785172,WFS1
cg25166896,C22orf25
cg00436603,CYP2E1
cg06044899,TMSL3
cg05960024,CLOCK
cg01027805,ZNF219
cg16358826,GABRA4
cg23786576,ATPAF1
cg04268405,CHST3
cg20828084,KIAA1199
cg06926735,UBE2V1
cg05590257,PLD6
cg16241714,CEBPD
cg07663789,NPR3
cg19569684,MGC29506
cg04005032,OSBPL10
cg10281002,TBX5
cg05294243,KLK13
cg01027739,DOLPP1
cg13319175,CAPZB
cg09869858,P11
cg02489552,CCDC105
cg02047577,UCKL1AS
cg12413566,XIRP1
cg21395782,NDUFA13
cg12830694,PPP1R14A
cg01353448,C7orf16
cg06462291,NT5DC3
cg06513075,NAT10
cg07595943,ADAD2
cg01407797,CCDC117
cg06952310,NCAN
cg20692569,FZD9
cg26043391,FBXO28
cg06121469,SPG11
cg03947362,C2orf60
cg08771731,LOC285696
cg08251036,0.92872
cg02972551,KDM3A
cg24058132,GALC
cg24888049,FES
cg19692710,DNAJB13
cg07849904,MN1
cg03578041,LARP6
cg20761322,CIB2
