probe	gene
cg22528270	PRKAG2
cg00965330	ZNF182
cg03937594	CITED1
cg06016684	MAP7D2
cg06522219	STARD8
cg13143866	STARD8
cg20346189	CITED1
cg21994514	STARD8
cg00261690	SNHG3-RCC1
cg00786138	RERE
cg01771201	RERE
cg03580279	PRKCZ
cg03595243	RAB7L1
cg03610117	RERE
cg03732007	PRKCZ
cg04995521	RERE
cg05954120	TMEM79
cg06717814	PRKCZ
cg07552723	PRDM2
cg07912723	PRKCZ
cg09107053	C1orf198
cg11750706	PRDM2
cg15991082	DDAH1
cg16031515	RAB7L1
cg16257559	C1orf106
cg16691863	SNHG3-RCC1
cg17023856	PRKCZ
cg17168771	TTLL10
cg17597631	RERE
cg19257562	PRKCZ
cg19269426	GGPS1
cg19405842	PRKCZ
cg19679865	RERE
cg20151494	PRKCZ
cg22366001	PRKCZ
cg22626579	PRKCZ
cg23051412	DCAF8
cg26910870	PRKCZ
cg02085294	SLC1A4
cg02567323	KLRAQ1
cg02640489	PNKD
cg08180831	NEU4
cg16202600	SERPINE2
cg16949533	VPS24
cg18681853	SERPINE2
cg22446399	CGREF1
cg24772525	TLK1
cg26128464	LCLAT1
cg00965985	KPNA1
cg01885796	PLCH1
cg02275418	SH3BP5
cg03919013	KIAA0226
cg05970080	C3orf26
cg06312132	MED12L
cg07480608	SH3BP5
cg09715793	LEPREL1
cg11268077	C3orf26
cg14454680	C3orf26
cg15260248	LEPREL1
cg15554421	C3orf26
cg16363104	PHLDB2
cg17210535	MCF2L2
cg17582100	GPR87
cg19010441	MED12L
cg23549367	LEPREL1
cg23670794	ZBED2
cg24310395	CX3CR1
cg25117092	MED12L
cg27418204	TNK2
cg02559915	TRIM2
cg08659517	TNIP2
cg09095080	UBE2D3
cg10511758	SH3BP2
cg11009257	TRIM2
cg21997986	BANK1
cg22421579	CCDC149
cg23138179	PDE5A
cg06033531	FAM193B
cg09179916	EGFLAM
cg10578782	EGFLAM
cg14973408	SGCD
cg19619956	FAM193B
cg21977218	SFRS12
cg01513802	SYNE1
cg05235151	TCP11
cg05568549	CCND3
cg08880817	TXNDC5
cg13405631	PNPLA1
cg14417891	TPD52L1
cg21326251	THEMIS
cg23813326	CDYL
cg01238073	GRB10
cg04515042	DMTF1
cg05757385	DMTF1
cg10316026	POT1
cg11251470	SCRN1
cg11957130	ATXN7L1
cg12922093	DFNA5
cg14881187	DMTF1
cg16994041	PRKAG2
cg21101308	TES
cg21565299	GALNTL5
cg22062131	RABL5
cg22972055	UNC84A
cg24401957	PTPN12
cg27180994	URGCP
cg00408605	TRAPPC9
cg01421994	OSGIN2
cg01865118	DUSP4
cg06784232	CSGALNACT1
cg07151117	DUSP4
cg14957240	CSGALNACT1
cg23042230	STAU2
cg27510066	CSGALNACT1
cg14109456	NEK6
cg14285539	NEK6
cg21167587	RNF38
cg03610280	ENTPD1
cg03754250	ZNF438
cg04780563	CCNY
cg05506809	SIRT1
cg08764162	ZNF438
cg08930843	ZNF438
cg09480417	C10orf55
cg11411220	CCNY
cg12128445	IL15RA
cg12649038	ABLIM1
cg14168246	CCNY
cg16832648	CCNY
cg17262810	CCNY
cg17679427	CREM
cg22593177	C10orf58
cg00423364	TSPAN4
cg01471802	TRIM6-TRIM34
cg06617449	C11orf58
cg11806762	BDNF
cg14588642	LOC100130987
cg14935025	CARS
cg15164881	TSPAN4
cg17033622	FLI1
cg22408430	MACROD1
cg27292710	KCNJ5
cg05697394	MSRB3
cg07915976	HOXC4
cg08407408	RSRC2
cg08802983	GALNT9
cg11606261	SP1
cg11696165	PXN
cg15461781	IFLTD1
cg15832300	TMBIM6
cg19722698	TXNRD1
cg21759570	GALNT9
cg23029597	RSRC2
cg08010865	SPATA13
cg09841972	LMO7
cg18090487	TNFSF11
cg20847766	ARHGEF7
cg22095128	STARD13
cg23521294	ARHGEF7
cg25320816	ADPRHL1
cg06808227	BRF1
cg09849871	C14orf102
cg13528570	BRF1
cg18808285	ZC3H14
cg23473374	FUT8
cg20773751	AKAP13
cg25547520	SMAD3
cg27157619	SEMA7A
cg01123946	ACSF3
cg03839322	KIFC3
cg04032292	CBFA2T3
cg04760708	CBFA2T3
cg06592860	CBFA2T3
cg07161625	CBFA2T3
cg26655856	CBFA2T3
cg27248474	CBFA2T3
cg27635976	CBFA2T3
cg00030296	SEPT9
cg03643998	C1QTNF1
cg03909356	SEPT9
cg05161773	SEPT9
cg06833613	ABR
cg07200871	ABR
cg07375836	ACACA
cg08564487	SEPT9
cg09676484	NME1
cg11122944	GAS7
cg12098949	SEPT9
cg12194864	SEPT9
cg13053608	GHDC
cg14048487	BRCA1
cg14608550	SEPT9
cg14818176	HN1
cg14843920	SEPT9
cg15293063	SEPT9
cg20688185	SEPT9
cg21808045	SEPT9
cg24489015	LPO
cg24657085	ERBB2
cg25055744	TBCD
cg04516518	NFATC1
cg06751398	NFATC1
cg15908877	NFATC1
cg15990955	NEDD4L
cg18108009	NFATC1
cg00864460	HNRNPL
cg19753641	CD37
cg22338446	ARHGEF1
cg22470465	LOC729991-MEF2B
cg02245875	DSTN
cg05305327	CBFA2T2
cg12992443	DLGAP4
cg15730121	DLGAP4
cg24216770	DLGAP4
cg08009711	C2CD2
cg11866463	RCAN1
cg20229931	LSS
cg21291385	MRPS6
cg03457302	TTLL1
cg17072519	AIFM3
